success
success
success
success
success
success
success
success
success
success
success
success
success
success
success
success
success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocyt)Running: success
(karocyt)Running: success
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running: Make Coffee         [ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine       [ exec-time = (jeCpo)time]
(karocyt)Running: Boil Water          [ exec-time = (jeCpo)time]
(karocyt)Running: Make Coffee         [ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine       [ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        8.106231689453125e-06[ exec-time = (jeCpo)time]
(karocyt)Running: Boil Water           1.6689300537109375e-05[ exec-time = (jeCpo)time]
(karocyt)Running: Make Coffee          2.003225088119507[ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        3.0994415283203125e-06[ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        0.013 ms[ exec-time = (jeCpo)time]
(karocyt)Running: Add Water            [ exec-time = 0.093 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.005 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s ]
(karocyt)Running: Start Machine        [ exec-time = 0.004 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.003 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.029 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.293 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.070 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.354 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.000 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.003 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.000 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.003 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.003 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.003 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.001 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.000 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.001 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.001 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.005 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.041 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.007 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.049 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.000 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.003 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.003 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.049 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.304 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.029 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.166 ms ]
(karocyt)Running: Add Water            [ exec-time = 5.005 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.000} ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004} ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004}  s ]
(karocyt)Running: Start Machine        [ exec-time = 0.004} ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004} ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004}  s ]
(karocyt)Running: Start Machine        [ exec-time = 0.003} ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004} ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004}  s ]
(karocyt)Running: Start Machine        [ exec-time = 0.002} ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.005 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004  s ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.000 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.000 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.012 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.004 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.003 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.002 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 2.003 s  ]
(karocyt)Running: Start Machine        [ exec-time = 0.016 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.094 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.012 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.076 ms ]
(karocyt)Running: Add Water            [ exec-time = 4.003 s  ]
